title,authors,average_rating
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38
A Short History of Nearly Everything,Bill Bryson,4.21
Bill Bryson's African Diary,Bill Bryson,3.44
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87
In a Sunburned Country,Bill Bryson,4.07
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.90
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83
Neither Here nor There: Travels in Europe,Bill Bryson,3.86
Notes from a Small Island,Bill Bryson,3.91
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.50
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.50
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.50
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72
